斯巴达 & 4.2922599219733684
习 & 2.7551977907267666
李彦宏 & 1.8972207368863403
莫言 & 1.8702632585227477
陈光诚 & 1.8279651246137532
十八大 & 1.7902065984958984
求证 & 1.7289662468372671
水面 & 1.7223489264977978
12秒 & 1.7182631898935459
什邡 & 1.7052428141964917
习近平 & 1.696381557881586
[国旗] & 1.682466227117273
翻墙 & 1.6796898494824195
启东 & 1.6659106393678524
喜迎 & 1.5722041194372298
两会 & 1.5553773382597986
薄熙来 & 1.5236911442546168
元芳 & 1.5228466347735425
入党 & 1.4937699447154873
总理 & 1.464551637899175
搜索 & 1.4455616148594166
删 & 1.4345862145740407
书记 & 1.4235296365612289
洗脑 & 1.3942328420659529
捐你妹 & 1.3937658526473073
自焚 & 1.3271996789806997
彭丽媛 & 1.3197186503643366
政治局 & 1.3039797742135468
[走你] & 1.2966450251884976
王立军 & 1.2853849215898756
薄 & 1.2666734418383279
死者 & 1.2637686300884561
传言 & 1.2483999482497887
反日 & 1.2373959792604381
毛主席 & 1.2331771751226357
编译 & 1.2312446523401122
暴徒 & 1.2282004880148676
雷锋 & 1.2268196641473248
二炮 & 1.2026844314020033
长江 & 1.2002928948723122
干部 & 1.1912406812331369
财产 & 1.1907213082163377
新闻联播 & 1.1858537632922881
民 & 1.1853948050426633
PX & 1.1830316768194782
敏感词,1.1829092699841963
常委,1.1779589027231452
习主席,1.1715867151509793
百度,1.1708211264412851
邪教,1.1570529426596308
爱国,1.1443430057596908
养老,1.1381474770840523
贪官,1.1309770190417807
特权,1.1284376485165211
邪路,1.1270004608826869
小秘书,1.1267241082470829
裸,1.1210937037202433
荒唐,1.1209277971471725
领导人,1.1203826611191117
表叔,1.1193209488026696
曹国伟,1.1171686591300118
黨,1.1088766906155747
[蜡烛],1.1063125015163426
政,1.0995953865132251
抵制,1.0981753484048431
衣俊卿,1.0971596956207925
妓,1.0961583571927058
总书记,1.0852225551177268
辟谣,1.0713883728878986
圣诞,1.0687306527707998
经费,1.0557773163371904
人权,1.0544586016826472
加密,1.0502167313447925
第一夫人,1.0401595315104883
游行,1.0389797581892088
开会,1.0389129495124358
公款,1.0338313606484448
我党,1.0199907476702965
表哥,1.0162926141115876
叹息,1.0161319381389471
高举,1.0130510933415389
思潮,1.0126179538580695
same_user_censor_count,1.0108382454985538
坟,1.0087867257350371
朝鲜,1.0067766093373951
红十字会,1.0029942728892549
掩耳盗铃,0.99796265081438063
卸任,0.99538387235447368
商学院,0.99528345503052473
丁志健,0.99471521873246083
27亿,0.98422083603056554
恐惧,0.97907643434883296
[霹雳],0.97059421716816707
领导,0.96147852534318279
和谐社会,0.95736614638712825
主席,0.95627239787009766
凶手,0.95117735309352613
腐,0.9471597636223511
[话筒],0.94508271997096427
宁波,0.94292109950562475
钓鱼岛,0.9338048876353755
表,0.93357526008981062
长安街,0.93336754926054188
汪洋,0.93325446805925238
维稳,0.92479835480260419
社长,0.92270108495461367
此人,0.92250960120162606
国耻,0.91980866414663087
下台,0.91727803788717943
纳税人,0.91696703207312991
李小鹏,0.91466458404570927
上任,0.91414483289836457
抹黑,0.91364439946403131
打砸抢,0.91193421209318637
饥荒,0.90859085099738679
砸,0.90827464062128438
香港,0.90444591720253742
[弱],0.90402022152840644
手表,0.90234050493812124
申请书,0.90225883082890457
辞职,0.89923797144096984
意识形态,0.89740141627002923
gender,0.89477958826692927
NYT,0.89175471571455189
移民,0.88742952828896038
勇士,0.88668500896621272
封路,0.8862847611301975
同胞,0.88610686925798066
beijing,0.88335495571165512
警车,0.88237431204507732
管制,0.88180478424615505
声援,0.88130799767846846
良知,0.87447717495024468
帐,0.87212474246352412
生成器,0.86811178505360009
巴马,0.8618900169457806
共产党,0.86183205622613013
下届,0.85959760510029715
雷政富,0.8580645798425437
护照,0.85195436545225689
文革,0.85089538121459685
段子,0.84517632671660736
[闭嘴],0.84391202597649917
RT,0.83994083095108907
文工团,0.83744807965061041
俞,0.8371391450575103
惊动,0.83559594498456102
网络,0.83370924254118739
二十,0.83339234277181429
和谐,0.8327493020591511
秘书,0.82790607739179378
共产党员,0.82733411535220458
温总理,0.82690476763221121
遵义,0.82689597300089557
星空,0.82444281746146175
空谈,0.82415208695567055
标题,0.82351925109282209
当官,0.82177921694464473
同志,0.81770125104836289
指示,0.81465805296418714
W,0.81417323088638593
拆迁,0.8120469808168358
奴隶,0.81149470135130508
误国,0.81002331267674377
夫人,0.80976451147610329
越南,0.80633269172828781
提案,0.80569086536588763
高丽,0.80540524834561711
计划生育,0.80518367107827504
董事会,0.80306781448455178
报纸,0.80261174022529769
棍,0.80201171956777995
党,0.80184790508361081
暴行,0.80122585527785661
自由,0.80083787877955559
希拉里,0.8000645422581697
高风亮节,0.79910390556441557
薄公,0.79760220301146023
实干,0.79706647832529287
长老,0.79597111211211768
主席台,0.79586784462202365
特供,0.79486572777753017
高行健,0.79426469338631411
政治体制改革,0.79050617892617803
人民,0.78964637091369294
